"Reference","Value","Footprint","LCSC"
"C1,C4,C5","10n","Capacitor_SMD:C_0402_1005Metric","C15195"
"C2","1u","Capacitor_SMD:C_0402_1005Metric","C52923"
"C3,C7","10u","Capacitor_SMD:C_0402_1005Metric","C15525"
"C6","100n","Capacitor_SMD:C_0402_1005Metric","C1525"
"D1,D2","BAT54S","Package_TO_SOT_SMD:SOT-23","C7420333"
"J1","L1/L2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J2","C1/C2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3","ESP32 DevKit","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"JP1","JUMPER","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R9","1M","Resistor_SMD:R_0805_2012Metric","C17514"
"R2,R4-R6,R10","100k","Resistor_SMD:R_0402_1005Metric","C25741"
"R3,R8,R11","1k","Resistor_SMD:R_0402_1005Metric","C11702"
"R7","10k","Resistor_SMD:R_0402_1005Metric","C25744"
"U1","MCP6004","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C7378"
