Comment,Designator,Footprint,LCSC Part #
10n,"C1,C4,C5",Capacitor_SMD:C_0402_1005Metric,C15195
1u,C2,Capacitor_SMD:C_0402_1005Metric,C52923
10u,"C3,C7",Capacitor_SMD:C_0402_1005Metric,C15525
100n,C6,Capacitor_SMD:C_0402_1005Metric,C1525
BAT54S,"D1,D2",Package_TO_SOT_SMD:SOT-23,C7420333
1M,"R1,R9",Resistor_SMD:R_0805_2012Metric,C17514
100k,"R2,R4,R5,R6,R10",Resistor_SMD:R_0402_1005Metric,C25741
1k,"R3,R8,R11",Resistor_SMD:R_0402_1005Metric,C11702
10k,R7,Resistor_SMD:R_0402_1005Metric,C25744
MCP6004,U1,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C7378
