Designator,Mid X,Mid Y,Layer,Rotation
C1,12.7100,12.8850,top,0
C2,7.1300,5.9650,top,0
C3,11.1700,0.8550,top,0
C4,13.1800,2.0250,top,0
C5,17.6000,2.2050,top,180
C6,5.5900,6.4350,top,270
C7,20.6800,12.0050,top,270
D1,6.2425,12.9250,top,180
D2,18.5625,9.3950,top,0
R1,5.9375,8.3250,top,0
R2,6.3300,10.2650,top,180
R3,10.7800,12.8750,top,0
R4,7.1100,3.9650,top,0
R5,7.1300,4.9950,top,180
R6,8.9800,2.0350,top,0
R7,8.9800,0.8650,top,0
R8,11.1900,2.0350,top,0
R9,18.2525,4.7350,top,180
R10,17.0000,6.6650,top,90
R11,17.5700,3.2450,top,0
U1,12.7100,7.2775,top,270
